Job Title,Job Description,Required Skills,Salary Range,Location,Company,Experience Level,Industry,Job Type,Date Posted,Min Salary,Max Salary,Month,Avg Salary
Frontend Developer,Build full stack solutions using PHP to enhance user experience.,"php, python",£55 - £66,Hanoi,Grab Vietnam,Senior,Software Development,Full-Time,2019-07-30,55,66,2019-07,60.5
Web Developer,Integrate APIs and microservices using Java for web systems.,"java, javascript",£21 - £29,Hanoi,CMC Global,Entry-Level,Cybersecurity,Full-Time,2019-01-10,21,29,2019-01,25.0
Network Engineer,Create responsive front-end interfaces with MySQL for modern web apps.,"mysql, spring",£20 - £32,Ho Chi Minh City,KMS Technology,Entry-Level,Artificial Intelligence,Full-Time,2019-10-18,20,32,2019-10,26.0
Web Developer,Build full stack solutions using HTML to enhance user experience.,"html, javascript, jsp, mysql",£58 - £64,Hanoi,Tiki,Senior,Web Development,Full-Time,2019-09-13,58,64,2019-09,61.0
Full Stack Developer,Develop and maintain web applications using Java for client projects.,"java, mysql, spring, sql",£28 - £38,Hanoi,Viettel Solutions,Entry-Level,Data Science,Full-Time,2019-11-19,28,38,2019-11,33.0
Full Stack Developer,Lead development of web and full stack projects utilizing MySQL.,"c#, javascript, jsp, mysql",£37 - £42,Ho Chi Minh City,Haravan,Mid-Level,Cybersecurity,Part-Time,2019-04-18,37,42,2019-04,39.5
Database Administrator,Build full stack solutions using Python to enhance user experience.,"html, java, jsp, python",£35 - £44,Ho Chi Minh City,Haravan,Mid-Level,Cybersecurity,Contract-Type,2019-10-17,35,44,2019-10,39.5
System Administrator,Design scalable backend systems with Java to support web platforms.,"css, java",£37 - £50,Hanoi,VinAI,Mid-Level,Cloud Computing,Contract-Type,2019-05-04,37,50,2019-05,43.5
Frontend Developer,Integrate APIs and microservices using HTML for web systems.,"css, html, python, spring",£35 - £50,Ho Chi Minh City,Tiki,Mid-Level,IT Infrastructure,Full-Time,2019-03-18,35,50,2019-03,42.5
System Administrator,Build full stack solutions using MySQL to enhance user experience.,"javascript, mysql",£22 - £28,Hanoi,Viettel Solutions,Entry-Level,Software Development,Full-Time,2019-11-13,22,28,2019-11,25.0
Frontend Developer,Build full stack solutions using HTML to enhance user experience.,"html, python",£23 - £29,Hanoi,Shopee Vietnam,Entry-Level,IT Infrastructure,Full-Time,2019-03-30,23,29,2019-03,26.0
Database Administrator,Develop and maintain web applications using JSP for client projects.,"jsp, python, spring",£63 - £72,Hanoi,VNG,Senior,IT Infrastructure,Full-Time,2019-02-18,63,72,2019-02,67.5
System Administrator,Build full stack solutions using Java to enhance user experience.,"html, java, python, spring",£33 - £39,Ho Chi Minh City,Tiki,Mid-Level,IT Infrastructure,Part-Time,2019-09-30,33,39,2019-09,36.0
Software Engineer,Lead development of web and full stack projects utilizing CSS.,"c#, css, html, javascript",£52 - £67,Vung Tau,TMA Solutions,Senior,Data Science,Full-Time,2019-01-25,52,67,2019-01,59.5
Network Engineer,Design scalable backend systems with JSP to support web platforms.,"java, jsp, spring",£25 - £31,Hanoi,FPT Software,Entry-Level,Data Science,Full-Time,2019-07-17,25,31,2019-07,28.0
Full Stack Developer,Design scalable backend systems with MySQL to support web platforms.,"mysql, servlet",£37 - £46,Ho Chi Minh City,FPT Software,Mid-Level,Software Development,Full-Time,2019-06-04,37,46,2019-06,41.5
Database Administrator,Design scalable backend systems with Python to support web platforms.,"javascript, python",£21 - £35,Hai Phong,Nexlify Vietnam,Entry-Level,Cybersecurity,Part-Time,2019-06-30,21,35,2019-06,28.0
Frontend Developer,Lead development of web and full stack projects utilizing SQL.,"javascript, mysql, sql",£57 - £62,Nha Trang,Tiki,Senior,Artificial Intelligence,Full-Time,2019-08-20,57,62,2019-08,59.5
Web Developer,Develop and maintain web applications using CSS for client projects.,"c#, css, javascript, mysql",£41 - £50,Ho Chi Minh City,VinAI,Mid-Level,Data Science,Full-Time,2019-06-01,41,50,2019-06,45.5
Network Engineer,Build full stack solutions using C# to enhance user experience.,"c#, css, java, javascript",£52 - £65,Hai Phong,Viettel Solutions,Senior,Cybersecurity,Full-Time,2019-11-07,52,65,2019-11,58.5
Java Developer,Develop and maintain web applications using C# for client projects.,"c#, java, php, python",£59 - £67,Remote,Haravan,Senior,Artificial Intelligence,Full-Time,2019-06-14,59,67,2019-06,63.0
Software Engineer,Build full stack solutions using CSS to enhance user experience.,"css, html, mysql, php",£37 - £46,Quy Nhon,FPT Software,Mid-Level,Cybersecurity,Full-Time,2019-10-09,37,46,2019-10,41.5
Software Engineer,Optimize Java-based web applications with MySQL for performance.,"c#, mysql",£32 - £37,Ho Chi Minh City,Shopee Vietnam,Mid-Level,Data Science,Full-Time,2019-01-03,32,37,2019-01,34.5
Database Administrator,Optimize Java-based web applications with PHP for performance.,"css, java, mysql, php",£28 - £38,Remote,KMS Technology,Mid-Level,Mobile Development,Full-Time,2019-08-05,28,38,2019-08,33.0
Network Engineer,Build full stack solutions using Java to enhance user experience.,"java, php",£55 - £60,Hanoi,FPT Software,Senior,Artificial Intelligence,Part-Time,2019-03-21,55,60,2019-03,57.5
Full Stack Developer,Integrate APIs and microservices using Java for web systems.,"java, jsp",£15 - £21,Remote,KMS Technology,Entry-Level,Software Development,Full-Time,2019-12-03,15,21,2019-12,18.0
Java Developer,Design scalable backend systems with SQL to support web platforms.,"python, sql",£61 - £76,Hanoi,VinAI,Senior,Software Development,Full-Time,2019-09-04,61,76,2019-09,68.5
Web Developer,Build full stack solutions using JSP to enhance user experience.,"javascript, jsp, spring",£33 - £44,Hanoi,TMA Solutions,Mid-Level,Cybersecurity,Full-Time,2019-03-23,33,44,2019-03,38.5
Web Developer,Develop and maintain web applications using Servlet for client projects.,"jsp, servlet, sql",£42 - £48,Ho Chi Minh City,KMS Technology,Mid-Level,Web Development,Full-Time,2019-02-08,42,48,2019-02,45.0
Frontend Developer,Develop and maintain web applications using C# for client projects.,"c#, servlet, spring, sql",£19 - £26,Da Nang,Shopee Vietnam,Entry-Level,Mobile Development,Full-Time,2019-05-24,19,26,2019-05,22.5
Web Developer,Integrate APIs and microservices using HTML for web systems.,"html, sql",£42 - £53,Ho Chi Minh City,Nexlify Vietnam,Mid-Level,Data Science,Full-Time,2019-02-05,42,53,2019-02,47.5
System Administrator,Optimize Java-based web applications with PHP for performance.,"html, php, servlet",£58 - £73,Hanoi,Haravan,Senior,Data Science,Full-Time,2019-07-14,58,73,2019-07,65.5
System Administrator,Develop and maintain web applications using PHP for client projects.,"php, python, spring",£41 - £50,Hanoi,CMC Global,Mid-Level,Artificial Intelligence,Full-Time,2019-02-28,41,50,2019-02,45.5
Database Administrator,Build full stack solutions using Java to enhance user experience.,"html, java, jsp, sql",£23 - £31,Hanoi,Techcombank IT,Entry-Level,Data Science,Full-Time,2019-05-29,23,31,2019-05,27.0
Java Developer,Develop and maintain web applications using PHP for client projects.,"java, php",£28 - £39,Hanoi,VNG,Entry-Level,IT Infrastructure,Contract-Type,2019-05-13,28,39,2019-05,33.5
Java Developer,Lead development of web and full stack projects utilizing Python.,"java, jsp, python, spring",£41 - £52,Hanoi,Axon Active,Mid-Level,Cloud Computing,Full-Time,2019-06-28,41,52,2019-06,46.5
Database Administrator,Integrate APIs and microservices using Servlet for web systems.,"javascript, servlet",£35 - £40,Ho Chi Minh City,Tiki,Mid-Level,Artificial Intelligence,Full-Time,2019-12-21,35,40,2019-12,37.5
Database Administrator,Develop and maintain web applications using CSS for client projects.,"c#, css, html, mysql",£59 - £65,Remote,Grab Vietnam,Senior,Mobile Development,Contract-Type,2019-01-27,59,65,2019-01,62.0
Full Stack Developer,Integrate APIs and microservices using JavaScript for web systems.,"css, javascript, mysql, sql",£63 - £75,Ho Chi Minh City,Viettel Solutions,Senior,Cybersecurity,Full-Time,2019-12-14,63,75,2019-12,69.0
Database Administrator,Create responsive front-end interfaces with Python for modern web apps.,"jsp, python",£40 - £54,Hanoi,Haravan,Mid-Level,Mobile Development,Contract-Type,2019-10-26,40,54,2019-10,47.0
Database Administrator,Develop and maintain web applications using Spring for client projects.,"mysql, spring",£33 - £46,Hanoi,CMC Global,Mid-Level,Data Science,Full-Time,2019-04-05,33,46,2019-04,39.5
Network Engineer,Design scalable backend systems with Java to support web platforms.,"c#, java, mysql",£62 - £75,Ho Chi Minh City,Viettel Solutions,Senior,Software Development,Full-Time,2019-06-08,62,75,2019-06,68.5
Web Developer,Lead development of web and full stack projects utilizing Spring.,"spring, sql",£38 - £53,Ho Chi Minh City,Nexlify Vietnam,Mid-Level,Web Development,Contract-Type,2019-01-05,38,53,2019-01,45.5
Java Developer,Design scalable backend systems with SQL to support web platforms.,"css, mysql, servlet, sql",£42 - £49,Ho Chi Minh City,Grab Vietnam,Mid-Level,Mobile Development,Full-Time,2019-08-24,42,49,2019-08,45.5
Full Stack Developer,Integrate APIs and microservices using PHP for web systems.,"javascript, jsp, php, sql",£64 - £69,Ho Chi Minh City,Tiki,Senior,Software Development,Full-Time,2019-12-08,64,69,2019-12,66.5
Web Developer,Develop and maintain web applications using Spring for client projects.,"javascript, mysql, servlet, spring",£56 - £64,Hanoi,VinAI,Senior,Mobile Development,Full-Time,2019-11-04,56,64,2019-11,60.0
Frontend Developer,Build full stack solutions using JavaScript to enhance user experience.,"javascript, servlet, spring",£31 - £37,Da Nang,Tiki,Mid-Level,Cloud Computing,Contract-Type,2019-09-06,31,37,2019-09,34.0
Database Administrator,Create responsive front-end interfaces with SQL for modern web apps.,"jsp, python, spring, sql",£34 - £40,Can Tho,Shopee Vietnam,Mid-Level,Web Development,Full-Time,2019-09-28,34,40,2019-09,37.0
System Administrator,Optimize Java-based web applications with Java for performance.,"html, java, javascript, mysql",£32 - £47,Ho Chi Minh City,KMS Technology,Mid-Level,Data Science,Full-Time,2019-09-14,32,47,2019-09,39.5
Full Stack Developer,Integrate APIs and microservices using PHP for web systems.,"php, servlet",£62 - £67,Ho Chi Minh City,Viettel Solutions,Senior,Software Development,Full-Time,2019-03-05,62,67,2019-03,64.5
Web Developer,Create responsive front-end interfaces with HTML for modern web apps.,"css, html, javascript, jsp",£37 - £44,Ho Chi Minh City,Techcombank IT,Mid-Level,Data Science,Part-Time,2019-06-16,37,44,2019-06,40.5
Database Administrator,Optimize Java-based web applications with JSP for performance.,"java, jsp",£42 - £50,Hanoi,KMS Technology,Mid-Level,Software Development,Full-Time,2019-02-01,42,50,2019-02,46.0
Database Administrator,Develop and maintain web applications using CSS for client projects.,"css, javascript, php, spring",£52 - £63,Da Nang,Tiki,Senior,Data Science,Full-Time,2019-01-30,52,63,2019-01,57.5
Frontend Developer,Develop and maintain web applications using Java for client projects.,"c#, java, php",£33 - £38,Hanoi,Axon Active,Mid-Level,Cybersecurity,Part-Time,2019-07-10,33,38,2019-07,35.5
Network Engineer,Develop and maintain web applications using CSS for client projects.,"c#, css, html, jsp",£24 - £32,Ho Chi Minh City,Shopee Vietnam,Entry-Level,Cloud Computing,Full-Time,2019-09-28,24,32,2019-09,28.0
Full Stack Developer,Optimize Java-based web applications with MySQL for performance.,"c#, mysql, php, servlet",£30 - £36,Ho Chi Minh City,Lazada Vietnam,Entry-Level,Web Development,Part-Time,2019-05-29,30,36,2019-05,33.0
Java Developer,Lead development of web and full stack projects utilizing PHP.,"php, python, servlet",£58 - £69,Hanoi,Axon Active,Senior,Cybersecurity,Full-Time,2019-06-06,58,69,2019-06,63.5
Network Engineer,Build full stack solutions using JSP to enhance user experience.,"c#, css, jsp, mysql",£38 - £48,Hanoi,VinAI,Mid-Level,Cybersecurity,Full-Time,2019-05-29,38,48,2019-05,43.0
Database Administrator,Design scalable backend systems with Servlet to support web platforms.,"php, python, servlet",£36 - £50,Hanoi,NashTech,Mid-Level,Web Development,Full-Time,2019-10-13,36,50,2019-10,43.0
System Administrator,Develop and maintain web applications using PHP for client projects.,"html, php, sql",£63 - £69,Ho Chi Minh City,Tiki,Senior,IT Infrastructure,Part-Time,2019-03-08,63,69,2019-03,66.0
Web Developer,Optimize Java-based web applications with C# for performance.,"c#, java, php, sql",£22 - £36,Nha Trang,CMC Global,Entry-Level,Web Development,Part-Time,2019-10-07,22,36,2019-10,29.0
Software Engineer,Optimize Java-based web applications with JSP for performance.,"c#, java, jsp, php",£58 - £73,Hai Phong,Nexlify Vietnam,Senior,Software Development,Full-Time,2019-08-21,58,73,2019-08,65.5
Web Developer,Optimize Java-based web applications with Java for performance.,"html, java, javascript, spring",£27 - £39,Hanoi,VinAI,Entry-Level,Cloud Computing,Full-Time,2019-09-11,27,39,2019-09,33.0
Software Engineer,Lead development of web and full stack projects utilizing CSS.,"css, spring",£37 - £51,Ho Chi Minh City,Techcombank IT,Mid-Level,Data Science,Contract-Type,2019-09-10,37,51,2019-09,44.0
Network Engineer,Integrate APIs and microservices using C# for web systems.,"c#, html, javascript",£62 - £72,Ho Chi Minh City,Axon Active,Senior,Cloud Computing,Part-Time,2019-05-26,62,72,2019-05,67.0
Software Engineer,Build full stack solutions using C# to enhance user experience.,"c#, css, java, servlet",£32 - £38,Da Nang,FPT Software,Mid-Level,Cloud Computing,Contract-Type,2019-10-07,32,38,2019-10,35.0
Database Administrator,Integrate APIs and microservices using C# for web systems.,"c#, mysql, python, sql",£64 - £78,Ho Chi Minh City,Tiki,Senior,Software Development,Contract-Type,2019-12-07,64,78,2019-12,71.0
Frontend Developer,Create responsive front-end interfaces with JavaScript for modern web apps.,"html, javascript, jsp, sql",£28 - £42,Hue,CMC Global,Mid-Level,Web Development,Part-Time,2019-04-23,28,42,2019-04,35.0
Software Engineer,Build full stack solutions using JSP to enhance user experience.,"jsp, mysql, php, servlet",£33 - £43,Ho Chi Minh City,KMS Technology,Mid-Level,IT Infrastructure,Full-Time,2019-08-24,33,43,2019-08,38.0
System Administrator,Integrate APIs and microservices using HTML for web systems.,"html, java, mysql, sql",£60 - £68,Ho Chi Minh City,Grab Vietnam,Senior,Cybersecurity,Contract-Type,2019-04-30,60,68,2019-04,64.0
System Administrator,Build full stack solutions using Spring to enhance user experience.,"html, spring",£30 - £39,Ho Chi Minh City,VNG,Entry-Level,Web Development,Full-Time,2019-09-28,30,39,2019-09,34.5
Software Engineer,Optimize Java-based web applications with HTML for performance.,"c#, html, javascript",£17 - £31,Remote,NashTech,Entry-Level,Web Development,Part-Time,2019-06-15,17,31,2019-06,24.0
Database Administrator,Design scalable backend systems with Java to support web platforms.,"html, java, servlet, spring",£42 - £52,Hanoi,Shopee Vietnam,Mid-Level,Software Development,Contract-Type,2019-04-18,42,52,2019-04,47.0
Network Engineer,Optimize Java-based web applications with SQL for performance.,"javascript, servlet, sql",£60 - £68,Da Nang,Grab Vietnam,Senior,Cloud Computing,Full-Time,2019-02-01,60,68,2019-02,64.0
Network Engineer,Build full stack solutions using Servlet to enhance user experience.,"c#, servlet",£37 - £44,Hanoi,Haravan,Mid-Level,Artificial Intelligence,Full-Time,2019-03-29,37,44,2019-03,40.5
System Administrator,Integrate APIs and microservices using PHP for web systems.,"html, mysql, php",£35 - £47,Hanoi,NashTech,Mid-Level,Cybersecurity,Part-Time,2019-05-03,35,47,2019-05,41.0
System Administrator,Lead development of web and full stack projects utilizing Servlet.,"php, servlet, spring",£42 - £48,Hanoi,Grab Vietnam,Mid-Level,Mobile Development,Full-Time,2019-11-02,42,48,2019-11,45.0
Frontend Developer,Develop and maintain web applications using SQL for client projects.,"javascript, mysql, servlet, sql",£35 - £40,Hanoi,Haravan,Mid-Level,Cybersecurity,Contract-Type,2019-10-16,35,40,2019-10,37.5
System Administrator,Lead development of web and full stack projects utilizing Servlet.,"servlet, sql",£20 - £34,Quy Nhon,CMC Global,Entry-Level,Artificial Intelligence,Full-Time,2019-03-01,20,34,2019-03,27.0
Full Stack Developer,Create responsive front-end interfaces with Java for modern web apps.,"java, mysql, servlet, spring",£30 - £40,Ho Chi Minh City,Shopee Vietnam,Entry-Level,Mobile Development,Contract-Type,2019-12-10,30,40,2019-12,35.0
Software Engineer,Develop and maintain web applications using C# for client projects.,"c#, java, php",£36 - £44,Ho Chi Minh City,Haravan,Mid-Level,Cybersecurity,Full-Time,2019-03-17,36,44,2019-03,40.0
System Administrator,Integrate APIs and microservices using SQL for web systems.,"javascript, servlet, sql",£56 - £64,Da Nang,Axon Active,Senior,Mobile Development,Full-Time,2019-12-12,56,64,2019-12,60.0
Network Engineer,Design scalable backend systems with Servlet to support web platforms.,"java, php, servlet",£40 - £46,Hanoi,KMS Technology,Mid-Level,Data Science,Contract-Type,2019-10-31,40,46,2019-10,43.0
Java Developer,Optimize Java-based web applications with JavaScript for performance.,"c#, java, javascript, spring",£34 - £42,Da Nang,FPT Software,Mid-Level,Cybersecurity,Full-Time,2019-11-07,34,42,2019-11,38.0
System Administrator,Build full stack solutions using Servlet to enhance user experience.,"php, python, servlet, sql",£41 - £50,Hanoi,Tiki,Mid-Level,Web Development,Full-Time,2019-06-01,41,50,2019-06,45.5
Frontend Developer,Develop and maintain web applications using Spring for client projects.,"css, spring",£32 - £43,Hanoi,KMS Technology,Mid-Level,IT Infrastructure,Part-Time,2019-06-30,32,43,2019-06,37.5
Full Stack Developer,Design scalable backend systems with HTML to support web platforms.,"css, html, python, spring",£22 - £32,Hanoi,Shopee Vietnam,Entry-Level,Data Science,Full-Time,2019-01-05,22,32,2019-01,27.0
Full Stack Developer,Lead development of web and full stack projects utilizing JSP.,"javascript, jsp, servlet, spring",£29 - £40,Ho Chi Minh City,Haravan,Entry-Level,Cybersecurity,Full-Time,2019-08-17,29,40,2019-08,34.5
Web Developer,Integrate APIs and microservices using Java for web systems.,"java, servlet",£28 - £38,Hanoi,Viettel Solutions,Entry-Level,Web Development,Contract-Type,2019-03-26,28,38,2019-03,33.0
System Administrator,Develop and maintain web applications using JavaScript for client projects.,"css, javascript, servlet",£32 - £45,Da Nang,FPT Software,Mid-Level,Cloud Computing,Full-Time,2019-06-24,32,45,2019-06,38.5
Frontend Developer,Optimize Java-based web applications with MySQL for performance.,"java, mysql, php",£21 - £33,Ho Chi Minh City,Axon Active,Entry-Level,Web Development,Full-Time,2019-12-10,21,33,2019-12,27.0
Java Developer,Optimize Java-based web applications with PHP for performance.,"css, php, servlet",£53 - £67,Remote,Tiki,Senior,Data Science,Full-Time,2019-05-05,53,67,2019-05,60.0
Software Engineer,Lead development of web and full stack projects utilizing Spring.,"html, jsp, mysql, spring",£29 - £42,Remote,VNG,Mid-Level,Data Science,Full-Time,2019-02-02,29,42,2019-02,35.5
Network Engineer,Develop and maintain web applications using JavaScript for client projects.,"c#, css, javascript, servlet",£57 - £72,Nha Trang,TMA Solutions,Senior,Artificial Intelligence,Contract-Type,2019-09-09,57,72,2019-09,64.5
Frontend Developer,Optimize Java-based web applications with SQL for performance.,"html, java, sql",£42 - £56,Ho Chi Minh City,Grab Vietnam,Mid-Level,Cloud Computing,Full-Time,2019-11-26,42,56,2019-11,49.0
System Administrator,Create responsive front-end interfaces with CSS for modern web apps.,"css, python",£21 - £33,Remote,Shopee Vietnam,Entry-Level,IT Infrastructure,Full-Time,2019-01-14,21,33,2019-01,27.0
Frontend Developer,Integrate APIs and microservices using Java for web systems.,"c#, java, jsp",£63 - £73,Ho Chi Minh City,Lazada Vietnam,Senior,Web Development,Full-Time,2019-01-11,63,73,2019-01,68.0
System Administrator,Create responsive front-end interfaces with PHP for modern web apps.,"html, php, sql",£55 - £61,Ho Chi Minh City,Grab Vietnam,Senior,Data Science,Part-Time,2019-05-22,55,61,2019-05,58.0
Network Engineer,Design scalable backend systems with MySQL to support web platforms.,"mysql, sql",£42 - £50,Hanoi,Lazada Vietnam,Mid-Level,Mobile Development,Full-Time,2019-03-15,42,50,2019-03,46.0
Web Developer,Integrate APIs and microservices using Python for web systems.,"jsp, mysql, php, python",£62 - £77,Ho Chi Minh City,VNG,Senior,Cybersecurity,Part-Time,2019-09-15,62,77,2019-09,69.5
Software Engineer,Develop and maintain web applications using PHP for client projects.,"php, python",£35 - £40,Hanoi,Techcombank IT,Mid-Level,Software Development,Full-Time,2019-02-07,35,40,2019-02,37.5
Network Engineer,Design scalable backend systems with JSP to support web platforms.,"c#, css, jsp, sql",£29 - £34,Hai Phong,Shopee Vietnam,Mid-Level,IT Infrastructure,Contract-Type,2019-06-10,29,34,2019-06,31.5
Database Administrator,Lead development of web and full stack projects utilizing HTML.,"c#, html, php",£16 - £21,Remote,Tiki,Entry-Level,Cloud Computing,Full-Time,2019-08-08,16,21,2019-08,18.5
Java Developer,Develop and maintain web applications using Python for client projects.,"php, python, sql",£20 - £34,Hanoi,Haravan,Entry-Level,IT Infrastructure,Full-Time,2019-04-26,20,34,2019-04,27.0
Web Developer,Create responsive front-end interfaces with SQL for modern web apps.,"mysql, python, sql",£30 - £39,Ho Chi Minh City,NashTech,Entry-Level,Cloud Computing,Full-Time,2019-12-09,30,39,2019-12,34.5
Software Engineer,Lead development of web and full stack projects utilizing JavaScript.,"html, javascript, python, servlet",£65 - £74,Ho Chi Minh City,Zalo,Senior,Artificial Intelligence,Contract-Type,2019-07-13,65,74,2019-07,69.5
Web Developer,Optimize Java-based web applications with HTML for performance.,"html, php",£20 - £30,Hai Phong,Lazada Vietnam,Entry-Level,Data Science,Full-Time,2019-02-04,20,30,2019-02,25.0
Java Developer,Develop and maintain web applications using C# for client projects.,"c#, mysql",£60 - £65,Hanoi,Zalo,Senior,Web Development,Full-Time,2019-10-29,60,65,2019-10,62.5
Full Stack Developer,Develop and maintain web applications using JSP for client projects.,"java, jsp, spring",£30 - £42,Can Tho,NashTech,Mid-Level,Mobile Development,Full-Time,2019-04-01,30,42,2019-04,36.0
Frontend Developer,Build full stack solutions using Python to enhance user experience.,"html, javascript, python",£21 - £29,Ho Chi Minh City,CMC Global,Entry-Level,Cloud Computing,Full-Time,2019-07-12,21,29,2019-07,25.0
Java Developer,Create responsive front-end interfaces with Servlet for modern web apps.,"mysql, php, servlet",£55 - £64,Hanoi,NashTech,Senior,Software Development,Full-Time,2019-11-30,55,64,2019-11,59.5
System Administrator,Create responsive front-end interfaces with Python for modern web apps.,"css, php, python, spring",£60 - £65,Hanoi,Viettel Solutions,Senior,Software Development,Full-Time,2019-07-20,60,65,2019-07,62.5
System Administrator,Develop and maintain web applications using JavaScript for client projects.,"c#, javascript, servlet",£60 - £75,Remote,FPT Software,Senior,Artificial Intelligence,Full-Time,2019-01-27,60,75,2019-01,67.5
Network Engineer,Design scalable backend systems with SQL to support web platforms.,"css, javascript, jsp, sql",£21 - £36,Da Nang,Nexlify Vietnam,Entry-Level,IT Infrastructure,Full-Time,2019-09-25,21,36,2019-09,28.5
System Administrator,Integrate APIs and microservices using Servlet for web systems.,"java, javascript, servlet",£21 - £30,Ho Chi Minh City,Viettel Solutions,Entry-Level,Cloud Computing,Full-Time,2019-05-02,21,30,2019-05,25.5
Web Developer,Create responsive front-end interfaces with PHP for modern web apps.,"c#, html, php",£25 - £36,Da Nang,TMA Solutions,Entry-Level,Data Science,Contract-Type,2019-05-22,25,36,2019-05,30.5
Java Developer,Create responsive front-end interfaces with JavaScript for modern web apps.,"javascript, spring",£65 - £80,Ho Chi Minh City,TMA Solutions,Senior,Cybersecurity,Full-Time,2019-06-03,65,80,2019-06,72.5
Software Engineer,Develop and maintain web applications using C# for client projects.,"c#, servlet",£42 - £54,Ho Chi Minh City,NashTech,Mid-Level,Artificial Intelligence,Full-Time,2019-05-29,42,54,2019-05,48.0
Frontend Developer,Optimize Java-based web applications with MySQL for performance.,"javascript, jsp, mysql",£29 - £34,Ho Chi Minh City,Grab Vietnam,Entry-Level,Cloud Computing,Full-Time,2019-08-24,29,34,2019-08,31.5
Network Engineer,Integrate APIs and microservices using MySQL for web systems.,"mysql, sql",£20 - £32,Da Nang,TMA Solutions,Entry-Level,Data Science,Full-Time,2019-10-13,20,32,2019-10,26.0
Database Administrator,Develop and maintain web applications using JSP for client projects.,"css, jsp, servlet",£57 - £69,Hanoi,Shopee Vietnam,Senior,Software Development,Contract-Type,2019-11-03,57,69,2019-11,63.0
