Job Title,Job Description,Required Skills,Salary Range,Location,Company,Experience Level,Industry,Job Type,Date Posted,Min Salary,Max Salary,Month,Avg Salary,JobID,All,Job Description	
SoftwareEngineer,BuildfullstacksolutionsusingSpringtoenhanceuserexperience.,"java,spring,sql",£22-£37,Hanoi,GrabVietnam,Entry-Level,WebDevelopment,Full-Time,2019-01-23,22,37,2019-01,29.5,10,"SoftwareEngineer,BuildfullstacksolutionsusingSpringtoenhanceuserexperience.,java,spring,sql,£22-£37,Hanoi,GrabVietnam,Entry-Level,WebDevelopment,Full-Time,2019-01-23,22,37,2019-01,29.5,10",10
SoftwareEngineer,DesignscalablebackendsystemswithJavaScripttosupportwebplatforms.,"javascript,php,sql",£34-£43,DaNang,NashTech,Mid-Level,ArtificialIntelligence,Part-Time,2019-08-14,34,43,2019-08,38.5,11,"SoftwareEngineer,DesignscalablebackendsystemswithJavaScripttosupportwebplatforms.,javascript,php,sql,£34-£43,DaNang,NashTech,Mid-Level,ArtificialIntelligence,Part-Time,2019-08-14,34,43,2019-08,38.5,11",11
WebDeveloper,IntegrateAPIsandmicroservicesusingMySQLforwebsystems.,"javascript,mysql",£28-£37,Hanoi,GrabVietnam,Entry-Level,Cybersecurity,Full-Time,2019-08-05,28,37,2019-08,32.5,12,"WebDeveloper,IntegrateAPIsandmicroservicesusingMySQLforwebsystems.,javascript,mysql,£28-£37,Hanoi,GrabVietnam,Entry-Level,Cybersecurity,Full-Time,2019-08-05,28,37,2019-08,32.5,12",12
NetworkEngineer,OptimizeJava-basedwebapplicationswithPythonforperformance.,"c#,javascript,php,python",£36-£41,Hanoi,NexlifyVietnam,Mid-Level,WebDevelopment,Full-Time,2019-02-02,36,41,2019-02,38.5,13,"NetworkEngineer,OptimizeJava-basedwebapplicationswithPythonforperformance.,c#,javascript,php,python,£36-£41,Hanoi,NexlifyVietnam,Mid-Level,WebDevelopment,Full-Time,2019-02-02,36,41,2019-02,38.5,13",13
SoftwareEngineer,Createresponsivefront-endinterfaceswithC#formodernwebapps.,"c#,css,java,php",£34-£39,HoChiMinhCity,Zalo,Mid-Level,CloudComputing,Full-Time,2019-01-21,34,39,2019-01,36.5,14,"SoftwareEngineer,Createresponsivefront-endinterfaceswithC#formodernwebapps.,c#,css,java,php,£34-£39,HoChiMinhCity,Zalo,Mid-Level,CloudComputing,Full-Time,2019-01-21,34,39,2019-01,36.5,14",14
NetworkEngineer,LeaddevelopmentofwebandfullstackprojectsutilizingSQL.,"python,servlet,sql",£33-£41,DaNang,NexlifyVietnam,Mid-Level,MobileDevelopment,Full-Time,2019-05-04,33,41,2019-05,37.0,15,"NetworkEngineer,LeaddevelopmentofwebandfullstackprojectsutilizingSQL.,python,servlet,sql,£33-£41,DaNang,NexlifyVietnam,Mid-Level,MobileDevelopment,Full-Time,2019-05-04,33,41,2019-05,37.0,15",15
FullStackDeveloper,LeaddevelopmentofwebandfullstackprojectsutilizingSQL.,"java,python,spring,sql",£22-£34,Hanoi,Tiki,Entry-Level,MobileDevelopment,Full-Time,2019-07-03,22,34,2019-07,28.0,16,"FullStackDeveloper,LeaddevelopmentofwebandfullstackprojectsutilizingSQL.,java,python,spring,sql,£22-£34,Hanoi,Tiki,Entry-Level,MobileDevelopment,Full-Time,2019-07-03,22,34,2019-07,28.0,16",16
WebDeveloper,OptimizeJava-basedwebapplicationswithJavaScriptforperformance.,"css,javascript,php",£55-£68,Hanoi,TechcombankIT,Senior,SoftwareDevelopment,Full-Time,2019-09-25,55,68,2019-09,61.5,17,"WebDeveloper,OptimizeJava-basedwebapplicationswithJavaScriptforperformance.,css,javascript,php,£55-£68,Hanoi,TechcombankIT,Senior,SoftwareDevelopment,Full-Time,2019-09-25,55,68,2019-09,61.5,17",17
FrontendDeveloper,DevelopandmaintainwebapplicationsusingPythonforclientprojects.,"jsp,python",£20-£32,HoChiMinhCity,LazadaVietnam,Entry-Level,WebDevelopment,Full-Time,2019-12-14,20,32,2019-12,26.0,18,"FrontendDeveloper,DevelopandmaintainwebapplicationsusingPythonforclientprojects.,jsp,python,£20-£32,HoChiMinhCity,LazadaVietnam,Entry-Level,WebDevelopment,Full-Time,2019-12-14,20,32,2019-12,26.0,18",18
FrontendDeveloper,BuildfullstacksolutionsusingPHPtoenhanceuserexperience.,"php,python",£55-£66,Hanoi,GrabVietnam,Senior,SoftwareDevelopment,Full-Time,2019-07-30,55,66,2019-07,60.5,19,"FrontendDeveloper,BuildfullstacksolutionsusingPHPtoenhanceuserexperience.,php,python,£55-£66,Hanoi,GrabVietnam,Senior,SoftwareDevelopment,Full-Time,2019-07-30,55,66,2019-07,60.5,19",19
WebDeveloper,IntegrateAPIsandmicroservicesusingJavaforwebsystems.,"java,javascript",£21-£29,Hanoi,CMCGlobal,Entry-Level,Cybersecurity,Full-Time,2019-01-10,21,29,2019-01,25.0,20,"WebDeveloper,IntegrateAPIsandmicroservicesusingJavaforwebsystems.,java,javascript,£21-£29,Hanoi,CMCGlobal,Entry-Level,Cybersecurity,Full-Time,2019-01-10,21,29,2019-01,25.0,20",20
NetworkEngineer,Createresponsivefront-endinterfaceswithMySQLformodernwebapps.,"mysql,spring",£20-£32,HoChiMinhCity,KMSTechnology,Entry-Level,ArtificialIntelligence,Full-Time,2019-10-18,20,32,2019-10,26.0,21,"NetworkEngineer,Createresponsivefront-endinterfaceswithMySQLformodernwebapps.,mysql,spring,£20-£32,HoChiMinhCity,KMSTechnology,Entry-Level,ArtificialIntelligence,Full-Time,2019-10-18,20,32,2019-10,26.0,21",21
WebDeveloper,BuildfullstacksolutionsusingHTMLtoenhanceuserexperience.,"html,javascript,jsp,mysql",£58-£64,Hanoi,Tiki,Senior,WebDevelopment,Full-Time,2019-09-13,58,64,2019-09,61.0,22,"WebDeveloper,BuildfullstacksolutionsusingHTMLtoenhanceuserexperience.,html,javascript,jsp,mysql,£58-£64,Hanoi,Tiki,Senior,WebDevelopment,Full-Time,2019-09-13,58,64,2019-09,61.0,22",22
FullStackDeveloper,DevelopandmaintainwebapplicationsusingJavaforclientprojects.,"java,mysql,spring,sql",£28-£38,Hanoi,ViettelSolutions,Entry-Level,DataScience,Full-Time,2019-11-19,28,38,2019-11,33.0,23,"FullStackDeveloper,DevelopandmaintainwebapplicationsusingJavaforclientprojects.,java,mysql,spring,sql,£28-£38,Hanoi,ViettelSolutions,Entry-Level,DataScience,Full-Time,2019-11-19,28,38,2019-11,33.0,23",23
FullStackDeveloper,LeaddevelopmentofwebandfullstackprojectsutilizingMySQL.,"c#,javascript,jsp,mysql",£37-£42,HoChiMinhCity,Haravan,Mid-Level,Cybersecurity,Part-Time,2019-04-18,37,42,2019-04,39.5,24,"FullStackDeveloper,LeaddevelopmentofwebandfullstackprojectsutilizingMySQL.,c#,javascript,jsp,mysql,£37-£42,HoChiMinhCity,Haravan,Mid-Level,Cybersecurity,Part-Time,2019-04-18,37,42,2019-04,39.5,24",24
DatabaseAdministrator,BuildfullstacksolutionsusingPythontoenhanceuserexperience.,"html,java,jsp,python",£35-£44,HoChiMinhCity,Haravan,Mid-Level,Cybersecurity,Contract-Type,2019-10-17,35,44,2019-10,39.5,25,"DatabaseAdministrator,BuildfullstacksolutionsusingPythontoenhanceuserexperience.,html,java,jsp,python,£35-£44,HoChiMinhCity,Haravan,Mid-Level,Cybersecurity,Contract-Type,2019-10-17,35,44,2019-10,39.5,25",25
SystemAdministrator,DesignscalablebackendsystemswithJavatosupportwebplatforms.,"css,java",£37-£50,Hanoi,VinAI,Mid-Level,CloudComputing,Contract-Type,2019-05-04,37,50,2019-05,43.5,26,"SystemAdministrator,DesignscalablebackendsystemswithJavatosupportwebplatforms.,css,java,£37-£50,Hanoi,VinAI,Mid-Level,CloudComputing,Contract-Type,2019-05-04,37,50,2019-05,43.5,26",26
FrontendDeveloper,IntegrateAPIsandmicroservicesusingHTMLforwebsystems.,"css,html,python,spring",£35-£50,HoChiMinhCity,Tiki,Mid-Level,ITInfrastructure,Full-Time,2019-03-18,35,50,2019-03,42.5,27,"FrontendDeveloper,IntegrateAPIsandmicroservicesusingHTMLforwebsystems.,css,html,python,spring,£35-£50,HoChiMinhCity,Tiki,Mid-Level,ITInfrastructure,Full-Time,2019-03-18,35,50,2019-03,42.5,27",27
SystemAdministrator,BuildfullstacksolutionsusingMySQLtoenhanceuserexperience.,"javascript,mysql",£22-£28,Hanoi,ViettelSolutions,Entry-Level,SoftwareDevelopment,Full-Time,2019-11-13,22,28,2019-11,25.0,28,"SystemAdministrator,BuildfullstacksolutionsusingMySQLtoenhanceuserexperience.,javascript,mysql,£22-£28,Hanoi,ViettelSolutions,Entry-Level,SoftwareDevelopment,Full-Time,2019-11-13,22,28,2019-11,25.0,28",28
FrontendDeveloper,BuildfullstacksolutionsusingHTMLtoenhanceuserexperience.,"html,python",£23-£29,Hanoi,ShopeeVietnam,Entry-Level,ITInfrastructure,Full-Time,2019-03-30,23,29,2019-03,26.0,29,"FrontendDeveloper,BuildfullstacksolutionsusingHTMLtoenhanceuserexperience.,html,python,£23-£29,Hanoi,ShopeeVietnam,Entry-Level,ITInfrastructure,Full-Time,2019-03-30,23,29,2019-03,26.0,29",29
DatabaseAdministrator,DevelopandmaintainwebapplicationsusingJSPforclientprojects.,"jsp,python,spring",£63-£72,Hanoi,VNG,Senior,ITInfrastructure,Full-Time,2019-02-18,63,72,2019-02,67.5,30,"DatabaseAdministrator,DevelopandmaintainwebapplicationsusingJSPforclientprojects.,jsp,python,spring,£63-£72,Hanoi,VNG,Senior,ITInfrastructure,Full-Time,2019-02-18,63,72,2019-02,67.5,30",30
SystemAdministrator,BuildfullstacksolutionsusingJavatoenhanceuserexperience.,"html,java,python,spring",£33-£39,HoChiMinhCity,Tiki,Mid-Level,ITInfrastructure,Part-Time,2019-09-30,33,39,2019-09,36.0,31,"SystemAdministrator,BuildfullstacksolutionsusingJavatoenhanceuserexperience.,html,java,python,spring,£33-£39,HoChiMinhCity,Tiki,Mid-Level,ITInfrastructure,Part-Time,2019-09-30,33,39,2019-09,36.0,31",31
SoftwareEngineer,LeaddevelopmentofwebandfullstackprojectsutilizingCSS.,"c#,css,html,javascript",£52-£67,VungTau,TMASolutions,Senior,DataScience,Full-Time,2019-01-25,52,67,2019-01,59.5,32,"SoftwareEngineer,LeaddevelopmentofwebandfullstackprojectsutilizingCSS.,c#,css,html,javascript,£52-£67,VungTau,TMASolutions,Senior,DataScience,Full-Time,2019-01-25,52,67,2019-01,59.5,32",32
NetworkEngineer,DesignscalablebackendsystemswithJSPtosupportwebplatforms.,"java,jsp,spring",£25-£31,Hanoi,FPTSoftware,Entry-Level,DataScience,Full-Time,2019-07-17,25,31,2019-07,28.0,33,"NetworkEngineer,DesignscalablebackendsystemswithJSPtosupportwebplatforms.,java,jsp,spring,£25-£31,Hanoi,FPTSoftware,Entry-Level,DataScience,Full-Time,2019-07-17,25,31,2019-07,28.0,33",33
FullStackDeveloper,DesignscalablebackendsystemswithMySQLtosupportwebplatforms.,"mysql,servlet",£37-£46,HoChiMinhCity,FPTSoftware,Mid-Level,SoftwareDevelopment,Full-Time,2019-06-04,37,46,2019-06,41.5,34,"FullStackDeveloper,DesignscalablebackendsystemswithMySQLtosupportwebplatforms.,mysql,servlet,£37-£46,HoChiMinhCity,FPTSoftware,Mid-Level,SoftwareDevelopment,Full-Time,2019-06-04,37,46,2019-06,41.5,34",34
DatabaseAdministrator,DesignscalablebackendsystemswithPythontosupportwebplatforms.,"javascript,python",£21-£35,HaiPhong,NexlifyVietnam,Entry-Level,Cybersecurity,Part-Time,2019-06-30,21,35,2019-06,28.0,35,"DatabaseAdministrator,DesignscalablebackendsystemswithPythontosupportwebplatforms.,javascript,python,£21-£35,HaiPhong,NexlifyVietnam,Entry-Level,Cybersecurity,Part-Time,2019-06-30,21,35,2019-06,28.0,35",35
FrontendDeveloper,LeaddevelopmentofwebandfullstackprojectsutilizingSQL.,"javascript,mysql,sql",£57-£62,NhaTrang,Tiki,Senior,ArtificialIntelligence,Full-Time,2019-08-20,57,62,2019-08,59.5,36,"FrontendDeveloper,LeaddevelopmentofwebandfullstackprojectsutilizingSQL.,javascript,mysql,sql,£57-£62,NhaTrang,Tiki,Senior,ArtificialIntelligence,Full-Time,2019-08-20,57,62,2019-08,59.5,36",36
WebDeveloper,DevelopandmaintainwebapplicationsusingCSSforclientprojects.,"c#,css,javascript,mysql",£41-£50,HoChiMinhCity,VinAI,Mid-Level,DataScience,Full-Time,2019-06-01,41,50,2019-06,45.5,37,"WebDeveloper,DevelopandmaintainwebapplicationsusingCSSforclientprojects.,c#,css,javascript,mysql,£41-£50,HoChiMinhCity,VinAI,Mid-Level,DataScience,Full-Time,2019-06-01,41,50,2019-06,45.5,37",37
NetworkEngineer,BuildfullstacksolutionsusingC#toenhanceuserexperience.,"c#,css,java,javascript",£52-£65,HaiPhong,ViettelSolutions,Senior,Cybersecurity,Full-Time,2019-11-07,52,65,2019-11,58.5,38,"NetworkEngineer,BuildfullstacksolutionsusingC#toenhanceuserexperience.,c#,css,java,javascript,£52-£65,HaiPhong,ViettelSolutions,Senior,Cybersecurity,Full-Time,2019-11-07,52,65,2019-11,58.5,38",38
JavaDeveloper,DevelopandmaintainwebapplicationsusingC#forclientprojects.,"c#,java,php,python",£59-£67,Remote,Haravan,Senior,ArtificialIntelligence,Full-Time,2019-06-14,59,67,2019-06,63.0,39,"JavaDeveloper,DevelopandmaintainwebapplicationsusingC#forclientprojects.,c#,java,php,python,£59-£67,Remote,Haravan,Senior,ArtificialIntelligence,Full-Time,2019-06-14,59,67,2019-06,63.0,39",39
SoftwareEngineer,BuildfullstacksolutionsusingCSStoenhanceuserexperience.,"css,html,mysql,php",£37-£46,QuyNhon,FPTSoftware,Mid-Level,Cybersecurity,Full-Time,2019-10-09,37,46,2019-10,41.5,40,"SoftwareEngineer,BuildfullstacksolutionsusingCSStoenhanceuserexperience.,css,html,mysql,php,£37-£46,QuyNhon,FPTSoftware,Mid-Level,Cybersecurity,Full-Time,2019-10-09,37,46,2019-10,41.5,40",40
SoftwareEngineer,OptimizeJava-basedwebapplicationswithMySQLforperformance.,"c#,mysql",£32-£37,HoChiMinhCity,ShopeeVietnam,Mid-Level,DataScience,Full-Time,2019-01-03,32,37,2019-01,34.5,41,"SoftwareEngineer,OptimizeJava-basedwebapplicationswithMySQLforperformance.,c#,mysql,£32-£37,HoChiMinhCity,ShopeeVietnam,Mid-Level,DataScience,Full-Time,2019-01-03,32,37,2019-01,34.5,41",41
DatabaseAdministrator,OptimizeJava-basedwebapplicationswithPHPforperformance.,"css,java,mysql,php",£28-£38,Remote,KMSTechnology,Mid-Level,MobileDevelopment,Full-Time,2019-08-05,28,38,2019-08,33.0,42,"DatabaseAdministrator,OptimizeJava-basedwebapplicationswithPHPforperformance.,css,java,mysql,php,£28-£38,Remote,KMSTechnology,Mid-Level,MobileDevelopment,Full-Time,2019-08-05,28,38,2019-08,33.0,42",42
NetworkEngineer,BuildfullstacksolutionsusingJavatoenhanceuserexperience.,"java,php",£55-£60,Hanoi,FPTSoftware,Senior,ArtificialIntelligence,Part-Time,2019-03-21,55,60,2019-03,57.5,43,"NetworkEngineer,BuildfullstacksolutionsusingJavatoenhanceuserexperience.,java,php,£55-£60,Hanoi,FPTSoftware,Senior,ArtificialIntelligence,Part-Time,2019-03-21,55,60,2019-03,57.5,43",43
FullStackDeveloper,IntegrateAPIsandmicroservicesusingJavaforwebsystems.,"java,jsp",£15-£21,Remote,KMSTechnology,Entry-Level,SoftwareDevelopment,Full-Time,2019-12-03,15,21,2019-12,18.0,44,"FullStackDeveloper,IntegrateAPIsandmicroservicesusingJavaforwebsystems.,java,jsp,£15-£21,Remote,KMSTechnology,Entry-Level,SoftwareDevelopment,Full-Time,2019-12-03,15,21,2019-12,18.0,44",44
JavaDeveloper,DesignscalablebackendsystemswithSQLtosupportwebplatforms.,"python,sql",£61-£76,Hanoi,VinAI,Senior,SoftwareDevelopment,Full-Time,2019-09-04,61,76,2019-09,68.5,45,"JavaDeveloper,DesignscalablebackendsystemswithSQLtosupportwebplatforms.,python,sql,£61-£76,Hanoi,VinAI,Senior,SoftwareDevelopment,Full-Time,2019-09-04,61,76,2019-09,68.5,45",45
WebDeveloper,BuildfullstacksolutionsusingJSPtoenhanceuserexperience.,"javascript,jsp,spring",£33-£44,Hanoi,TMASolutions,Mid-Level,Cybersecurity,Full-Time,2019-03-23,33,44,2019-03,38.5,46,"WebDeveloper,BuildfullstacksolutionsusingJSPtoenhanceuserexperience.,javascript,jsp,spring,£33-£44,Hanoi,TMASolutions,Mid-Level,Cybersecurity,Full-Time,2019-03-23,33,44,2019-03,38.5,46",46
WebDeveloper,DevelopandmaintainwebapplicationsusingServletforclientprojects.,"jsp,servlet,sql",£42-£48,HoChiMinhCity,KMSTechnology,Mid-Level,WebDevelopment,Full-Time,2019-02-08,42,48,2019-02,45.0,47,"WebDeveloper,DevelopandmaintainwebapplicationsusingServletforclientprojects.,jsp,servlet,sql,£42-£48,HoChiMinhCity,KMSTechnology,Mid-Level,WebDevelopment,Full-Time,2019-02-08,42,48,2019-02,45.0,47",47
FrontendDeveloper,DevelopandmaintainwebapplicationsusingC#forclientprojects.,"c#,servlet,spring,sql",£19-£26,DaNang,ShopeeVietnam,Entry-Level,MobileDevelopment,Full-Time,2019-05-24,19,26,2019-05,22.5,48,"FrontendDeveloper,DevelopandmaintainwebapplicationsusingC#forclientprojects.,c#,servlet,spring,sql,£19-£26,DaNang,ShopeeVietnam,Entry-Level,MobileDevelopment,Full-Time,2019-05-24,19,26,2019-05,22.5,48",48
WebDeveloper,IntegrateAPIsandmicroservicesusingHTMLforwebsystems.,"html,sql",£42-£53,HoChiMinhCity,NexlifyVietnam,Mid-Level,DataScience,Full-Time,2019-02-05,42,53,2019-02,47.5,49,"WebDeveloper,IntegrateAPIsandmicroservicesusingHTMLforwebsystems.,html,sql,£42-£53,HoChiMinhCity,NexlifyVietnam,Mid-Level,DataScience,Full-Time,2019-02-05,42,53,2019-02,47.5,49",49
SystemAdministrator,OptimizeJava-basedwebapplicationswithPHPforperformance.,"html,php,servlet",£58-£73,Hanoi,Haravan,Senior,DataScience,Full-Time,2019-07-14,58,73,2019-07,65.5,50,"SystemAdministrator,OptimizeJava-basedwebapplicationswithPHPforperformance.,html,php,servlet,£58-£73,Hanoi,Haravan,Senior,DataScience,Full-Time,2019-07-14,58,73,2019-07,65.5,50",50
SystemAdministrator,DevelopandmaintainwebapplicationsusingPHPforclientprojects.,"php,python,spring",£41-£50,Hanoi,CMCGlobal,Mid-Level,ArtificialIntelligence,Full-Time,2019-02-28,41,50,2019-02,45.5,51,"SystemAdministrator,DevelopandmaintainwebapplicationsusingPHPforclientprojects.,php,python,spring,£41-£50,Hanoi,CMCGlobal,Mid-Level,ArtificialIntelligence,Full-Time,2019-02-28,41,50,2019-02,45.5,51",51
DatabaseAdministrator,BuildfullstacksolutionsusingJavatoenhanceuserexperience.,"html,java,jsp,sql",£23-£31,Hanoi,TechcombankIT,Entry-Level,DataScience,Full-Time,2019-05-29,23,31,2019-05,27.0,52,"DatabaseAdministrator,BuildfullstacksolutionsusingJavatoenhanceuserexperience.,html,java,jsp,sql,£23-£31,Hanoi,TechcombankIT,Entry-Level,DataScience,Full-Time,2019-05-29,23,31,2019-05,27.0,52",52
JavaDeveloper,DevelopandmaintainwebapplicationsusingPHPforclientprojects.,"java,php",£28-£39,Hanoi,VNG,Entry-Level,ITInfrastructure,Contract-Type,2019-05-13,28,39,2019-05,33.5,53,"JavaDeveloper,DevelopandmaintainwebapplicationsusingPHPforclientprojects.,java,php,£28-£39,Hanoi,VNG,Entry-Level,ITInfrastructure,Contract-Type,2019-05-13,28,39,2019-05,33.5,53",53
JavaDeveloper,LeaddevelopmentofwebandfullstackprojectsutilizingPython.,"java,jsp,python,spring",£41-£52,Hanoi,AxonActive,Mid-Level,CloudComputing,Full-Time,2019-06-28,41,52,2019-06,46.5,54,"JavaDeveloper,LeaddevelopmentofwebandfullstackprojectsutilizingPython.,java,jsp,python,spring,£41-£52,Hanoi,AxonActive,Mid-Level,CloudComputing,Full-Time,2019-06-28,41,52,2019-06,46.5,54",54
DatabaseAdministrator,IntegrateAPIsandmicroservicesusingServletforwebsystems.,"javascript,servlet",£35-£40,HoChiMinhCity,Tiki,Mid-Level,ArtificialIntelligence,Full-Time,2019-12-21,35,40,2019-12,37.5,55,"DatabaseAdministrator,IntegrateAPIsandmicroservicesusingServletforwebsystems.,javascript,servlet,£35-£40,HoChiMinhCity,Tiki,Mid-Level,ArtificialIntelligence,Full-Time,2019-12-21,35,40,2019-12,37.5,55",55
DatabaseAdministrator,DevelopandmaintainwebapplicationsusingCSSforclientprojects.,"c#,css,html,mysql",£59-£65,Remote,GrabVietnam,Senior,MobileDevelopment,Contract-Type,2019-01-27,59,65,2019-01,62.0,56,"DatabaseAdministrator,DevelopandmaintainwebapplicationsusingCSSforclientprojects.,c#,css,html,mysql,£59-£65,Remote,GrabVietnam,Senior,MobileDevelopment,Contract-Type,2019-01-27,59,65,2019-01,62.0,56",56
FullStackDeveloper,IntegrateAPIsandmicroservicesusingJavaScriptforwebsystems.,"css,javascript,mysql,sql",£63-£75,HoChiMinhCity,ViettelSolutions,Senior,Cybersecurity,Full-Time,2019-12-14,63,75,2019-12,69.0,57,"FullStackDeveloper,IntegrateAPIsandmicroservicesusingJavaScriptforwebsystems.,css,javascript,mysql,sql,£63-£75,HoChiMinhCity,ViettelSolutions,Senior,Cybersecurity,Full-Time,2019-12-14,63,75,2019-12,69.0,57",57
DatabaseAdministrator,Createresponsivefront-endinterfaceswithPythonformodernwebapps.,"jsp,python",£40-£54,Hanoi,Haravan,Mid-Level,MobileDevelopment,Contract-Type,2019-10-26,40,54,2019-10,47.0,58,"DatabaseAdministrator,Createresponsivefront-endinterfaceswithPythonformodernwebapps.,jsp,python,£40-£54,Hanoi,Haravan,Mid-Level,MobileDevelopment,Contract-Type,2019-10-26,40,54,2019-10,47.0,58",58
DatabaseAdministrator,DevelopandmaintainwebapplicationsusingSpringforclientprojects.,"mysql,spring",£33-£46,Hanoi,CMCGlobal,Mid-Level,DataScience,Full-Time,2019-04-05,33,46,2019-04,39.5,59,"DatabaseAdministrator,DevelopandmaintainwebapplicationsusingSpringforclientprojects.,mysql,spring,£33-£46,Hanoi,CMCGlobal,Mid-Level,DataScience,Full-Time,2019-04-05,33,46,2019-04,39.5,59",59
NetworkEngineer,DesignscalablebackendsystemswithJavatosupportwebplatforms.,"c#,java,mysql",£62-£75,HoChiMinhCity,ViettelSolutions,Senior,SoftwareDevelopment,Full-Time,2019-06-08,62,75,2019-06,68.5,60,"NetworkEngineer,DesignscalablebackendsystemswithJavatosupportwebplatforms.,c#,java,mysql,£62-£75,HoChiMinhCity,ViettelSolutions,Senior,SoftwareDevelopment,Full-Time,2019-06-08,62,75,2019-06,68.5,60",60
